Artist,Song,Popularity
Cocteau Twins,Cherry-coloured Funk,66.0
The Verve,Lucky Man,66.0
The Cure,Friday I'm In Love,65.0
The Black Keys,Gold on the Ceiling,65.0
The Strokes,Last Nite,65.0
Justice,D.A.N.C.E.,65.0
Cake,The Distance,65.0
Ethel Cain,Crush,65.0
Lucy Dacus,Night Shift,65.0
Kaiser Chiefs,I Predict A Riot,65.0
Pulp,Common People,65.0
Placebo,Every You Every Me,65.0
The Runaways,Cherry Bomb,65.0
Patti Smith,Because the Night,65.0
The Head And The Heart,Rivers And Roads,65.0
Los Retros,Amtrak,65.0
Steppenwolf,Magic Carpet Ride,65.0
The Jam,Town Called Malice,65.0
Bag Raiders,Shooting Stars,65.0
Tame Impala,Lost In Yesterday,65.0
Procol Harum,A Whiter Shade Of Pale,65.0
Cocteau Twins,Heaven Or Las Vegas,64.0
Phoebe Bridgers,Savior Complex,64.0
The Stone Roses,I Wanna Be Adored - Remastered,64.0
The War On Drugs,Red Eyes,64.0
Janis Joplin,Piece Of My Heart,64.0
LEISURE,Slipping Away,64.0
Jungle,Keep Moving,64.0
Catfish and the Bottlemen,Kathleen,64.0
The Doors,Love Her Madly,64.0
Queens of the Stone Age,No One Knows,64.0
The Rolling Stones,Brown Sugar,64.0
Radiohead,15 Step,64.0
The Kinks,All Day and All of the Night,64.0
Talking Heads,Once in a Lifetime - 2005 Remaster,64.0
Joy Division,Disorder - 2007 Remaster,64.0
Childe,Child,64.0
Nico,These Days,64.0
alt-J,Left Hand Free,64.0
Bring Me The Horizon,Parasite Eve,64.0
Lou Reed,Perfect Day,64.0
Vampire Weekend,A-Punk,64.0
Pixies,Hey,64.0
Massive Attack,Paradise Circus,63.0
Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix,63.0
Remi Wolf,Photo ID,63.0
Spoon,Do You,63.0
Tame Impala,Breathe Deeper,63.0
The Black Keys,Fever,63.0
Japanese Breakfast,Be Sweet,63.0
Weezer,Hash Pipe,63.0
The Black Keys,Tighten Up,63.0
Caroline Polachek,So Hot You're Hurting My Feelings,63.0
The Dandy Warhols,Bohemian Like You,63.0
Elliott Smith,Between the Bars,63.0
Jeff Buckley,Grace,63.0
The Marías,I Don't Know You,63.0
Nathaniel Rateliff & The Night Sweats,S.O.B.,63.0
Phoenix,If I Ever Feel Better,63.0
Lord Huron,I Lied (with Allison Ponthier),63.0
The Raconteurs,"Steady, As She Goes",63.0
Kali Uchis,fue mejor,63.0
Phoebe Bridgers,Kyoto,63.0
Remi Wolf,Photo ID (with Dominic Fike),63.0
Plastic Bertrand,Ça Plane Pour Moi,63.0
Yeah Yeah Yeahs,Heads Will Roll,63.0
Portishead,Roads,62.0
Fred again..,Dermot (See Yourself In My Eyes),62.0
The Zombies,She's Not There,62.0
Gerry Cinnamon,Sometimes,62.0
Foals,Mountain at My Gates,62.0
The Breeders,Cannonball,62.0
Pulp,Disco 2000,62.0
Borai,Make Me,62.0
The Verve,The Drugs Don't Work,62.0
No Vacation,Yam Yam,62.0
Interpol,Evil,62.0
The Shins,Australia,62.0
Cold War Kids,Hang Me Up To Dry,62.0
Cake,Short Skirt / Long Jacket,62.0
Still Woozy,Window,62.0
Lana Del Rey,hope is a dangerous thing for a woman like me to have - but I have it,62.0
The White Stripes,Icky Thump,62.0
Sufjan Stevens,Mystery of Love,62.0
